product_code,default_billing_dimension,billing_dimensions,usage_unit,usage_page_name,dimension,dimension_name,netsuite_name,revenue_accounting_name,salesforce_name,salesforce_display_name,website_name,datadog_product,product_name,usage_page_category,salesforce_family,salesforce_product_category,salesforce_product_family,website_product_category,website_product_nav_category,rda_product_category,rda_product_family,revenue_accounting_category,fpa_product_family,fpa_public_reporting_group
HOSTS-INFRA-APM,infra_and_apm_host,infra_and_apm_host,infra host,Infra Hosts (+APM add-on),infra_host,Infra Hosts (+APM add-on),Committed Infrastructure Host,,Infrastructure and APM Hosts,Infrastructure with APM Hosts,,infrastructure,Infrastructure,infrastructure,Infrastructure,Infrastructure,Infrastructure,,,infrastructure,infrastructure,,Infra Hosts,Infrastructure
HOSTS-PRO,infra_host,infra_host,infra host,Infra Hosts,infra_host,Infra Hosts,Committed Infrastructure Host (Pro),Committed Infrastructure Host (Pro),Infra Host (Pro),Infra Host (Pro),Infrastructure Pro,infrastructure,Infrastructure,infrastructure,Pro,Infrastructure,Infrastructure,Infrastructure,Infrastructure,infrastructure,infrastructure,Invoicing - Monitoring,Infra Hosts,Infrastructure
HOSTS-PROPLUS,infra_host,infra_host,infra host,Infra Hosts,infra_host,Infra Hosts,Committed Infrastructure Host (Pro Plus),Committed Infrastructure Host (Pro Plus),Infra Host (Pro Plus),Infra Host (Pro Plus),,infrastructure,Infrastructure,infrastructure,Pro,Infrastructure,Infrastructure,,,,,Invoicing - Monitoring,Infra Hosts,Infrastructure
CM-INGEST,ingested_timeseries,ingested_timeseries,ingested custom metric,Ingested Custom Metrics,ingested_custom_metrics,Ingested Custom Metrics,Committed Custom Metrics Ingestion,Committed Custom Metrics Ingestion,Custom Metrics Ingestion,Custom Metrics Ingestion,Ingested Custom Metrics,custom_metrics,Custom Metrics,custom-metrics,Add-On,Infrastructure,Infrastructure,Infrastructure,Infrastructure,infrastructure,infrastructure,Invoicing - Monitoring,Custom Metrics,Infrastructure
SPANS-INGEST,ingested_spans,ingested_spans,ingested span,Ingested Spans,ingested_spans,Ingested Spans,Committed Ingested Spans,Committed Ingested Spans,Ingested Spans,Ingested Spans,APM - Ingestion,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,Ingested Spans,APM
TEST-VIS-ITR,ci_intelligent_test_runner,ci_intelligent_test_runner,committer,Intelligent Test Runner Committers,intelligent_test_runner_committers,Intelligent Test Runner Committers,,Committed Intelligent Test Runner|On-Demand Intelligent Test Runner,Intelligent Test Runner,Intelligent Test Runner,Intelligent Test Runner,software_delivery,Software Delivery,software-delivery,CI Visibility,CI Visibility,CI Visibility,CI Visibility,Software Delivery,ci visibility,ci visibility,Invoicing - CI Visibility,CI,CI
IOT-MONT,iot,iot,device,IoT Devices,iot_device,IoT Devices,,Committed IOT Device Monitoring,IOT Device Monitoring,IOT Device Monitoring,IoT,infrastructure,Infrastructure,iot,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,network,infrastructure,Invoicing - APM,Other Infra,Infrastructure
LLM-OBSERVABILITY,llm_observability,llm_observability,,,llm_observability,unconfigured,,,,,,llm_observability,LLM Observability,,,,,,,,,,,
LOG-FW,logs_forwarding,logs_forwarding,forwarded log,Logs Forwarding,logs_forwarding,Logs Forwarding,Committed Log Forwarding,On-Demand Log Forwarding|Committed Log Forwarding,Log Forwarding,Log Forwarding,Logs - Forwarding to Custom Destinations,logs_forwarding,Logs Forwarding,log-management,Logs,Logs,Logs,Log Management,Logs,logs,logs,Invoicing - Logs,Indexed Logs,Logs
LOGS-15DAY,logs_indexed_15day,logs_indexed_15day|logs_indexed,log event,Indexed Logs (15 Day Retention),logs_indexed_15day,Indexed Logs (15 Day Retention),Committed Indexed Log Events - 15 Days (Bundle of 1M),On-Demand Indexed Log Events - 15 Days (Bundle of 1M)|Committed Indexed Log Events - 15 Days (Bundle of 1M),Log Events - 15 Days (Bundle of 1M),Log Events (15 Day Retention Period),Logs - Indexed Log Events (15-day retention),logs,Logs,log-management,Logs,Logs,Logs,Log Management,Logs,logs,logs,Invoicing - Logs,Indexed Logs,Logs
